Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820003627/run.log
2026-08-20 00:36: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820003627
2026-08-20 00:41: Train Epoch 2: 560/1641 Loss: 0.436341
2026-08-20 00:41: Train Epoch 2: 580/1641 Loss: 0.442264
2026-08-20 00:41: Train Epoch 2: 600/1641 Loss: 0.433495
2026-08-20 00:41: Train Epoch 2: 620/1641 Loss: 0.441756
2026-08-20 00:42: Train Epoch 2: 640/1641 Loss: 0.425133
2026-08-20 00:42: Train Epoch 2: 660/1641 Loss: 0.426321
2026-08-20 00:42: Train Epoch 2: 680/1641 Loss: 0.455998
2026-08-20 00:42: Train Epoch 2: 700/1641 Loss: 0.435397
2026-08-20 00:42: Train Epoch 2: 720/1641 Loss: 0.456057
2026-08-20 00:42: Train Epoch 2: 740/1641 Loss: 0.465432
2026-08-20 00:42: Train Epoch 2: 760/1641 Loss: 0.441162
2026-08-20 00:42: Train Epoch 2: 780/1641 Loss: 0.453613
2026-08-20 00:42: Train Epoch 2: 800/1641 Loss: 0.417926
2026-08-20 00:42: Train Epoch 2: 820/1641 Loss: 0.446596
2026-08-20 00:42: Train Epoch 2: 840/1641 Loss: 0.425291
2026-08-20 00:42: Train Epoch 2: 860/1641 Loss: 0.441851
2026-08-20 00:42: Train Epoch 2: 880/1641 Loss: 0.453234
2026-08-20 00:42: Train Epoch 2: 900/1641 Loss: 0.442542
2026-08-20 00:42: Train Epoch 2: 920/1641 Loss: 0.454111
2026-08-20 00:42: Train Epoch 2: 940/1641 Loss: 0.440854
2026-08-20 00:42: Train Epoch 2: 960/1641 Loss: 0.409807
2026-08-20 00:42: Train Epoch 2: 980/1641 Loss: 0.447855
2026-08-20 00:42: Train Epoch 2: 1000/1641 Loss: 0.464944
2026-08-20 00:42: Train Epoch 2: 1020/1641 Loss: 0.423104
2026-08-20 00:42: Train Epoch 2: 1040/1641 Loss: 0.458993
2026-08-20 00:42: Train Epoch 2: 1060/1641 Loss: 0.426064
2026-08-20 00:43: Train Epoch 2: 1080/1641 Loss: 0.449416
2026-08-20 00:43: Train Epoch 2: 1100/1641 Loss: 0.444321
2026-08-20 00:43: Train Epoch 2: 1120/1641 Loss: 0.451896
2026-08-20 00:43: Train Epoch 2: 1140/1641 Loss: 0.461766
2026-08-20 00:43: Train Epoch 2: 1160/1641 Loss: 0.443016
2026-08-20 00:43: Train Epoch 2: 1180/1641 Loss: 0.462301
2026-08-20 00:43: Train Epoch 2: 1200/1641 Loss: 0.447390
2026-08-20 00:43: Train Epoch 2: 1220/1641 Loss: 0.410587
2026-08-20 00:43: Train Epoch 2: 1240/1641 Loss: 0.472439
2026-08-20 00:43: Train Epoch 2: 1260/1641 Loss: 0.440261
2026-08-20 00:43: Train Epoch 2: 1280/1641 Loss: 0.446106
2026-08-20 00:43: Train Epoch 2: 1300/1641 Loss: 0.411118
2026-08-20 00:43: Train Epoch 2: 1320/1641 Loss: 0.439410
