Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819222740/run.log
2026-08-19 22:27: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819222740
2026-08-19 22:42: Train Epoch 4: 1040/1641 Loss: 0.437356
2026-08-19 22:42: Train Epoch 4: 1060/1641 Loss: 0.411649
2026-08-19 22:42: Train Epoch 4: 1080/1641 Loss: 0.397002
2026-08-19 22:42: Train Epoch 4: 1100/1641 Loss: 0.428624
2026-08-19 22:42: Train Epoch 4: 1120/1641 Loss: 0.412346
2026-08-19 22:42: Train Epoch 4: 1140/1641 Loss: 0.421652
2026-08-19 22:42: Train Epoch 4: 1160/1641 Loss: 0.401182
2026-08-19 22:42: Train Epoch 4: 1180/1641 Loss: 0.430449
2026-08-19 22:42: Train Epoch 4: 1200/1641 Loss: 0.407170
2026-08-19 22:42: Train Epoch 4: 1220/1641 Loss: 0.426274
2026-08-19 22:42: Train Epoch 4: 1240/1641 Loss: 0.406536
2026-08-19 22:42: Train Epoch 4: 1260/1641 Loss: 0.426385
2026-08-19 22:42: Train Epoch 4: 1280/1641 Loss: 0.413762
2026-08-19 22:42: Train Epoch 4: 1300/1641 Loss: 0.418656
2026-08-19 22:42: Train Epoch 4: 1320/1641 Loss: 0.412965
2026-08-19 22:42: Train Epoch 4: 1340/1641 Loss: 0.410640
2026-08-19 22:42: Train Epoch 4: 1360/1641 Loss: 0.457617
2026-08-19 22:42: Train Epoch 4: 1380/1641 Loss: 0.424127
2026-08-19 22:43: Train Epoch 4: 1400/1641 Loss: 0.430106
2026-08-19 22:43: Train Epoch 4: 1420/1641 Loss: 0.404654
2026-08-19 22:43: Train Epoch 4: 1440/1641 Loss: 0.411747
2026-08-19 22:43: Train Epoch 4: 1460/1641 Loss: 0.411650
2026-08-19 22:43: Train Epoch 4: 1480/1641 Loss: 0.435542
2026-08-19 22:43: Train Epoch 4: 1500/1641 Loss: 0.434414
2026-08-19 22:43: Train Epoch 4: 1520/1641 Loss: 0.427340
2026-08-19 22:43: Train Epoch 4: 1540/1641 Loss: 0.414187
2026-08-19 22:43: Train Epoch 4: 1560/1641 Loss: 0.451711
2026-08-19 22:43: Train Epoch 4: 1580/1641 Loss: 0.394172
2026-08-19 22:43: Train Epoch 4: 1600/1641 Loss: 0.426310
2026-08-19 22:43: Train Epoch 4: 1620/1641 Loss: 0.427014
2026-08-19 22:43: Train Epoch 4: 1640/1641 Loss: 0.402640
2026-08-19 22:43: **********Train Epoch 4: averaged Loss: 0.423548, tf_ratio: 0.986867
2026-08-19 22:43: **********Val Epoch 4: average Loss: 0.409094
2026-08-19 22:43: *********************************Current best model saved!
2026-08-19 22:43: Train Epoch 5: 0/1641 Loss: 0.477156
2026-08-19 22:43: Train Epoch 5: 20/1641 Loss: 0.390152
2026-08-19 22:44: Train Epoch 5: 40/1641 Loss: 0.422629
2026-08-19 22:44: Train Epoch 5: 60/1641 Loss: 0.403306
2026-08-19 22:44: Train Epoch 5: 80/1641 Loss: 0.428447
2026-08-19 22:44: Train Epoch 5: 100/1641 Loss: 0.437095
