Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815222411/run.log
2026-08-15 22:24: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815222411
2026-08-15 22:26: Train Epoch 3: 260/958 Loss: 2.125812
2026-08-15 22:26: Train Epoch 3: 280/958 Loss: 1.960786
2026-08-15 22:26: Train Epoch 3: 300/958 Loss: 2.194088
2026-08-15 22:27: Train Epoch 3: 320/958 Loss: 2.002124
2026-08-15 22:27: Train Epoch 3: 340/958 Loss: 1.982362
2026-08-15 22:27: Train Epoch 3: 360/958 Loss: 2.018763
2026-08-15 22:27: Train Epoch 3: 380/958 Loss: 2.092300
2026-08-15 22:27: Train Epoch 3: 400/958 Loss: 2.030781
2026-08-15 22:27: Train Epoch 3: 420/958 Loss: 2.077502
2026-08-15 22:27: Train Epoch 3: 440/958 Loss: 1.999514
2026-08-15 22:27: Train Epoch 3: 460/958 Loss: 1.947334
2026-08-15 22:27: Train Epoch 3: 480/958 Loss: 2.071740
2026-08-15 22:27: Train Epoch 3: 500/958 Loss: 2.149545
2026-08-15 22:27: Train Epoch 3: 520/958 Loss: 1.966995
2026-08-15 22:27: Train Epoch 3: 540/958 Loss: 2.034741
2026-08-15 22:27: Train Epoch 3: 560/958 Loss: 2.021523
2026-08-15 22:27: Train Epoch 3: 580/958 Loss: 1.854864
2026-08-15 22:27: Train Epoch 3: 600/958 Loss: 2.035966
2026-08-15 22:27: Train Epoch 3: 620/958 Loss: 2.191562
2026-08-15 22:27: Train Epoch 3: 640/958 Loss: 2.134526
2026-08-15 22:27: Train Epoch 3: 660/958 Loss: 1.989856
2026-08-15 22:27: Train Epoch 3: 680/958 Loss: 1.976236
2026-08-15 22:27: Train Epoch 3: 700/958 Loss: 2.070936
2026-08-15 22:27: Train Epoch 3: 720/958 Loss: 2.018539
2026-08-15 22:27: Train Epoch 3: 740/958 Loss: 1.976761
2026-08-15 22:27: Train Epoch 3: 760/958 Loss: 1.992046
2026-08-15 22:27: Train Epoch 3: 780/958 Loss: 2.007261
2026-08-15 22:27: Train Epoch 3: 800/958 Loss: 2.028713
2026-08-15 22:27: Train Epoch 3: 820/958 Loss: 1.970051
2026-08-15 22:27: Train Epoch 3: 840/958 Loss: 2.118631
2026-08-15 22:27: Train Epoch 3: 860/958 Loss: 1.970212
2026-08-15 22:27: Train Epoch 3: 880/958 Loss: 2.221109
2026-08-15 22:27: Train Epoch 3: 900/958 Loss: 1.990787
2026-08-15 22:27: Train Epoch 3: 920/958 Loss: 1.934052
2026-08-15 22:27: Train Epoch 3: 940/958 Loss: 1.989763
2026-08-15 22:27: **********Train Epoch 3: averaged Loss: 2.062121, tf_ratio: 0.997901
