2026-08-17 05:38: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260817053820
2026-08-17 05:41: Train Epoch 4: 100/821 Loss: 0.301133
2026-08-17 05:41: Train Epoch 4: 120/821 Loss: 0.294154
2026-08-17 05:41: Train Epoch 4: 140/821 Loss: 0.287041
2026-08-17 05:41: Train Epoch 4: 160/821 Loss: 0.288023
2026-08-17 05:41: Train Epoch 4: 180/821 Loss: 0.271008
2026-08-17 05:41: Train Epoch 4: 200/821 Loss: 0.282669
2026-08-17 05:41: Train Epoch 4: 220/821 Loss: 0.273198
2026-08-17 05:41: Train Epoch 4: 240/821 Loss: 0.274090
2026-08-17 05:41: Train Epoch 4: 260/821 Loss: 0.277197
2026-08-17 05:41: Train Epoch 4: 280/821 Loss: 0.282875
2026-08-17 05:42: Train Epoch 4: 300/821 Loss: 0.264290
2026-08-17 05:42: Train Epoch 4: 320/821 Loss: 0.273096
2026-08-17 05:42: Train Epoch 4: 340/821 Loss: 0.293316
2026-08-17 05:42: Train Epoch 4: 360/821 Loss: 0.283394
2026-08-17 05:42: Train Epoch 4: 380/821 Loss: 0.286608
2026-08-17 05:42: Train Epoch 4: 400/821 Loss: 0.276730
2026-08-17 05:42: Train Epoch 4: 420/821 Loss: 0.286584
2026-08-17 05:42: Train Epoch 4: 440/821 Loss: 0.272956
2026-08-17 05:42: Train Epoch 4: 460/821 Loss: 0.277669
2026-08-17 05:42: Train Epoch 4: 480/821 Loss: 0.274290
2026-08-17 05:42: Train Epoch 4: 500/821 Loss: 0.278565
2026-08-17 05:42: Train Epoch 4: 520/821 Loss: 0.273733
2026-08-17 05:42: Train Epoch 4: 540/821 Loss: 0.280380
2026-08-17 05:42: Train Epoch 4: 560/821 Loss: 0.285535
2026-08-17 05:42: Train Epoch 4: 580/821 Loss: 0.281989
2026-08-17 05:42: Train Epoch 4: 600/821 Loss: 0.283960
2026-08-17 05:42: Train Epoch 4: 620/821 Loss: 0.284732
2026-08-17 05:42: Train Epoch 4: 640/821 Loss: 0.296628
2026-08-17 05:42: Train Epoch 4: 660/821 Loss: 0.277974
2026-08-17 05:42: Train Epoch 4: 680/821 Loss: 0.285899
2026-08-17 05:42: Train Epoch 4: 700/821 Loss: 0.283649
2026-08-17 05:42: Train Epoch 4: 720/821 Loss: 0.280307
2026-08-17 05:42: Train Epoch 4: 740/821 Loss: 0.290889
2026-08-17 05:42: Train Epoch 4: 760/821 Loss: 0.286904
2026-08-17 05:42: Train Epoch 4: 780/821 Loss: 0.287287
2026-08-17 05:42: Train Epoch 4: 800/821 Loss: 0.274649
2026-08-17 05:42: Train Epoch 4: 820/821 Loss: 0.277649
2026-08-17 05:42: **********Train Epoch 4: averaged Loss: 0.279557, tf_ratio: 1.000000
2026-08-17 05:42: **********Val Epoch 4: average Loss: 0.278198
2026-08-17 05:42: *********************************Current best model saved!
2026-08-17 05:42: Train Epoch 5: 0/821 Loss: 0.279493
2026-08-17 05:42: Train Epoch 5: 20/821 Loss: 0.274984
2026-08-17 05:42: Train Epoch 5: 40/821 Loss: 0.277301
2026-08-17 05:42: Train Epoch 5: 60/821 Loss: 0.281382
2026-08-17 05:42: Train Epoch 5: 80/821 Loss: 0.274193
2026-08-17 05:42: Train Epoch 5: 100/821 Loss: 0.261229
2026-08-17 05:42: Train Epoch 5: 120/821 Loss: 0.279785
2026-08-17 05:42: Train Epoch 5: 140/821 Loss: 0.273394
2026-08-17 05:42: Train Epoch 5: 160/821 Loss: 0.277237
2026-08-17 05:42: Train Epoch 5: 180/821 Loss: 0.277845
2026-08-17 05:42: Train Epoch 5: 200/821 Loss: 0.264885
2026-08-17 05:43: Train Epoch 5: 220/821 Loss: 0.268999
2026-08-17 05:43: Train Epoch 5: 240/821 Loss: 0.277602
2026-08-17 05:43: Train Epoch 5: 260/821 Loss: 0.293846
2026-08-17 05:43: Train Epoch 5: 280/821 Loss: 0.271370
2026-08-17 05:43: Train Epoch 5: 300/821 Loss: 0.274938
2026-08-17 05:43: Train Epoch 5: 320/821 Loss: 0.258260
2026-08-17 05:43: Train Epoch 5: 340/821 Loss: 0.277473
2026-08-17 05:43: Train Epoch 5: 360/821 Loss: 0.276844
2026-08-17 05:43: Train Epoch 5: 380/821 Loss: 0.279682
2026-08-17 05:43: Train Epoch 5: 400/821 Loss: 0.280957
2026-08-17 05:43: Train Epoch 5: 420/821 Loss: 0.263493
2026-08-17 05:43: Train Epoch 5: 440/821 Loss: 0.286167
2026-08-17 05:43: Train Epoch 5: 460/821 Loss: 0.271937
2026-08-17 05:43: Train Epoch 5: 480/821 Loss: 0.268722
2026-08-17 05:43: Train Epoch 5: 500/821 Loss: 0.266076
2026-08-17 05:43: Train Epoch 5: 520/821 Loss: 0.277323
2026-08-17 05:43: Train Epoch 5: 540/821 Loss: 0.274811
2026-08-17 05:43: Train Epoch 5: 560/821 Loss: 0.263227
2026-08-17 05:43: Train Epoch 5: 580/821 Loss: 0.267142
2026-08-17 05:43: Train Epoch 5: 600/821 Loss: 0.256759
2026-08-17 05:43: Train Epoch 5: 620/821 Loss: 0.269796
2026-08-17 05:43: Train Epoch 5: 640/821 Loss: 0.264598
2026-08-17 05:43: Train Epoch 5: 660/821 Loss: 0.262547
2026-08-17 05:43: Train Epoch 5: 680/821 Loss: 0.270622
2026-08-17 05:43: Train Epoch 5: 700/821 Loss: 0.263426
2026-08-17 05:43: Train Epoch 5: 720/821 Loss: 0.291464
2026-08-17 05:43: Train Epoch 5: 740/821 Loss: 0.272099
2026-08-17 05:43: Train Epoch 5: 760/821 Loss: 0.278307
2026-08-17 05:43: Train Epoch 5: 780/821 Loss: 0.261856
2026-08-17 05:43: Train Epoch 5: 800/821 Loss: 0.280244
2026-08-17 05:43: Train Epoch 5: 820/821 Loss: 0.275503
2026-08-17 05:43: **********Train Epoch 5: averaged Loss: 0.273294, tf_ratio: 1.000000
2026-08-17 05:43: **********Val Epoch 5: average Loss: 0.276520
2026-08-17 05:43: *********************************Current best model saved!
2026-08-17 05:43: Train Epoch 6: 0/821 Loss: 0.270231
2026-08-17 05:43: Train Epoch 6: 20/821 Loss: 0.276489
2026-08-17 05:43: Train Epoch 6: 40/821 Loss: 0.265946
2026-08-17 05:43: Train Epoch 6: 60/821 Loss: 0.268839
2026-08-17 05:43: Train Epoch 6: 80/821 Loss: 0.261165
2026-08-17 05:43: Train Epoch 6: 100/821 Loss: 0.269995
2026-08-17 05:43: Train Epoch 6: 120/821 Loss: 0.265780
2026-08-17 05:43: Train Epoch 6: 140/821 Loss: 0.267432
2026-08-17 05:44: Train Epoch 6: 160/821 Loss: 0.271384
2026-08-17 05:44: Train Epoch 6: 180/821 Loss: 0.276506
2026-08-17 05:44: Train Epoch 6: 200/821 Loss: 0.264434
2026-08-17 05:44: Train Epoch 6: 220/821 Loss: 0.268958
2026-08-17 05:44: Train Epoch 6: 240/821 Loss: 0.278610
2026-08-17 05:44: Train Epoch 6: 260/821 Loss: 0.257287
2026-08-17 05:44: Train Epoch 6: 280/821 Loss: 0.268420
2026-08-17 05:44: Train Epoch 6: 300/821 Loss: 0.274518
2026-08-17 05:44: Train Epoch 6: 320/821 Loss: 0.262535
2026-08-17 05:44: Train Epoch 6: 340/821 Loss: 0.271365
2026-08-17 05:44: Train Epoch 6: 360/821 Loss: 0.272155
2026-08-17 05:44: Train Epoch 6: 380/821 Loss: 0.266564
2026-08-17 05:44: Train Epoch 6: 400/821 Loss: 0.277476
2026-08-17 05:44: Train Epoch 6: 420/821 Loss: 0.266439
2026-08-17 05:44: Train Epoch 6: 440/821 Loss: 0.260805
2026-08-17 05:44: Train Epoch 6: 460/821 Loss: 0.273609
2026-08-17 05:44: Train Epoch 6: 480/821 Loss: 0.278407
2026-08-17 05:44: Train Epoch 6: 500/821 Loss: 0.279287
2026-08-17 05:44: Train Epoch 6: 520/821 Loss: 0.265573
2026-08-17 05:44: Train Epoch 6: 540/821 Loss: 0.262192
2026-08-17 05:44: Train Epoch 6: 560/821 Loss: 0.266048
2026-08-17 05:44: Train Epoch 6: 580/821 Loss: 0.285633
2026-08-17 05:44: Train Epoch 6: 600/821 Loss: 0.269887
2026-08-17 05:44: Train Epoch 6: 620/821 Loss: 0.261085
2026-08-17 05:44: Train Epoch 6: 640/821 Loss: 0.290186
2026-08-17 05:44: Train Epoch 6: 660/821 Loss: 0.266950
2026-08-17 05:44: Train Epoch 6: 680/821 Loss: 0.262906
2026-08-17 05:44: Train Epoch 6: 700/821 Loss: 0.258432
2026-08-17 05:44: Train Epoch 6: 720/821 Loss: 0.259496
2026-08-17 05:44: Train Epoch 6: 740/821 Loss: 0.266180
2026-08-17 05:44: Train Epoch 6: 760/821 Loss: 0.282153
2026-08-17 05:44: Train Epoch 6: 780/821 Loss: 0.264844
2026-08-17 05:44: Train Epoch 6: 800/821 Loss: 0.251896
2026-08-17 05:44: Train Epoch 6: 820/821 Loss: 0.255394
2026-08-17 05:44: **********Train Epoch 6: averaged Loss: 0.269290, tf_ratio: 1.000000
2026-08-17 05:44: **********Val Epoch 6: average Loss: 0.270498
2026-08-17 05:44: *********************************Current best model saved!
2026-08-17 05:44: Train Epoch 7: 0/821 Loss: 0.248607
2026-08-17 05:44: Train Epoch 7: 20/821 Loss: 0.265424
2026-08-17 05:44: Train Epoch 7: 40/821 Loss: 0.269563
2026-08-17 05:44: Train Epoch 7: 60/821 Loss: 0.277767
2026-08-17 05:44: Train Epoch 7: 80/821 Loss: 0.264007
2026-08-17 05:45: Train Epoch 7: 100/821 Loss: 0.275252
2026-08-17 05:45: Train Epoch 7: 120/821 Loss: 0.266501
2026-08-17 05:45: Train Epoch 7: 140/821 Loss: 0.262427
2026-08-17 05:45: Train Epoch 7: 160/821 Loss: 0.280270
2026-08-17 05:45: Train Epoch 7: 180/821 Loss: 0.265845
2026-08-17 05:45: Train Epoch 7: 200/821 Loss: 0.259410
2026-08-17 05:45: Train Epoch 7: 220/821 Loss: 0.277533
2026-08-17 05:45: Train Epoch 7: 240/821 Loss: 0.275828
2026-08-17 05:45: Train Epoch 7: 260/821 Loss: 0.258810
