Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658/run.log
2026-08-14 03:07: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658
2026-08-14 03:10: Train Epoch 4: 520/821 Loss: 2.068364
2026-08-14 03:10: Train Epoch 4: 540/821 Loss: 2.102647
2026-08-14 03:10: Train Epoch 4: 560/821 Loss: 2.097486
2026-08-14 03:10: Train Epoch 4: 580/821 Loss: 2.112858
2026-08-14 03:10: Train Epoch 4: 600/821 Loss: 2.110487
2026-08-14 03:11: Train Epoch 4: 620/821 Loss: 2.102841
2026-08-14 03:11: Train Epoch 4: 640/821 Loss: 2.240982
2026-08-14 03:11: Train Epoch 4: 660/821 Loss: 2.066192
2026-08-14 03:11: Train Epoch 4: 680/821 Loss: 2.084919
2026-08-14 03:11: Train Epoch 4: 700/821 Loss: 2.013950
2026-08-14 03:11: Train Epoch 4: 720/821 Loss: 2.086349
2026-08-14 03:11: Train Epoch 4: 740/821 Loss: 2.222377
2026-08-14 03:11: Train Epoch 4: 760/821 Loss: 2.187486
2026-08-14 03:11: Train Epoch 4: 780/821 Loss: 2.116580
2026-08-14 03:11: Train Epoch 4: 800/821 Loss: 2.032333
2026-08-14 03:11: Train Epoch 4: 820/821 Loss: 2.036268
2026-08-14 03:11: **********Train Epoch 4: averaged Loss: 2.100410, tf_ratio: 1.000000
2026-08-14 03:11: **********Val Epoch 4: average Loss: 2.029239
2026-08-14 03:11: *********************************Current best model saved!
2026-08-14 03:11: Train Epoch 5: 0/821 Loss: 2.054111
2026-08-14 03:11: Train Epoch 5: 20/821 Loss: 2.027076
2026-08-14 03:11: Train Epoch 5: 40/821 Loss: 2.090531
2026-08-14 03:11: Train Epoch 5: 60/821 Loss: 2.125507
2026-08-14 03:11: Train Epoch 5: 80/821 Loss: 2.026599
2026-08-14 03:11: Train Epoch 5: 100/821 Loss: 1.940468
2026-08-14 03:11: Train Epoch 5: 120/821 Loss: 2.150966
2026-08-14 03:11: Train Epoch 5: 140/821 Loss: 2.161520
2026-08-14 03:11: Train Epoch 5: 160/821 Loss: 2.059932
2026-08-14 03:11: Train Epoch 5: 180/821 Loss: 2.046041
2026-08-14 03:11: Train Epoch 5: 200/821 Loss: 2.020999
2026-08-14 03:11: Train Epoch 5: 220/821 Loss: 2.039224
2026-08-14 03:11: Train Epoch 5: 240/821 Loss: 2.051897
2026-08-14 03:11: Train Epoch 5: 260/821 Loss: 2.170799
2026-08-14 03:11: Train Epoch 5: 280/821 Loss: 2.031571
2026-08-14 03:11: Train Epoch 5: 300/821 Loss: 2.000042
2026-08-14 03:11: Train Epoch 5: 320/821 Loss: 1.913021
2026-08-14 03:11: Train Epoch 5: 340/821 Loss: 2.035631
2026-08-14 03:11: Train Epoch 5: 360/821 Loss: 2.083155
2026-08-14 03:11: Train Epoch 5: 380/821 Loss: 2.114360
2026-08-14 03:11: Train Epoch 5: 400/821 Loss: 2.115945
2026-08-14 03:11: Train Epoch 5: 420/821 Loss: 2.026871
2026-08-14 03:11: Train Epoch 5: 440/821 Loss: 2.137527
2026-08-14 03:11: Train Epoch 5: 460/821 Loss: 1.967874
2026-08-14 03:11: Train Epoch 5: 480/821 Loss: 1.969712
2026-08-14 03:11: Train Epoch 5: 500/821 Loss: 1.984284
2026-08-14 03:11: Train Epoch 5: 520/821 Loss: 2.016846
2026-08-14 03:11: Train Epoch 5: 540/821 Loss: 2.049388
2026-08-14 03:12: Train Epoch 5: 560/821 Loss: 1.970787
2026-08-14 03:12: Train Epoch 5: 580/821 Loss: 2.025136
2026-08-14 03:12: Train Epoch 5: 600/821 Loss: 1.910136
2026-08-14 03:12: Train Epoch 5: 620/821 Loss: 2.044920
2026-08-14 03:12: Train Epoch 5: 640/821 Loss: 2.008427
2026-08-14 03:12: Train Epoch 5: 660/821 Loss: 1.926208
2026-08-14 03:12: Train Epoch 5: 680/821 Loss: 1.990757
2026-08-14 03:12: Train Epoch 5: 700/821 Loss: 1.949129
2026-08-14 03:12: Train Epoch 5: 720/821 Loss: 2.177969
2026-08-14 03:12: Train Epoch 5: 740/821 Loss: 2.034622
2026-08-14 03:12: Train Epoch 5: 760/821 Loss: 2.091635
2026-08-14 03:12: Train Epoch 5: 780/821 Loss: 1.949690
2026-08-14 03:12: Train Epoch 5: 800/821 Loss: 2.139535
2026-08-14 03:12: Train Epoch 5: 820/821 Loss: 2.053754
2026-08-14 03:12: **********Train Epoch 5: averaged Loss: 2.037132, tf_ratio: 1.000000
2026-08-14 03:12: **********Val Epoch 5: average Loss: 1.982203
2026-08-14 03:12: *********************************Current best model saved!
2026-08-14 03:12: Train Epoch 6: 0/821 Loss: 2.060672
