Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823082527/run.log
2026-08-23 08:25: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823082527
2026-08-23 08:35: Train Epoch 3: 900/1641 Loss: 0.074769
2026-08-23 08:35: Train Epoch 3: 920/1641 Loss: 0.091644
2026-08-23 08:35: Train Epoch 3: 940/1641 Loss: 0.130388
2026-08-23 08:35: Train Epoch 3: 960/1641 Loss: 0.095524
2026-08-23 08:35: Train Epoch 3: 980/1641 Loss: 0.104675
2026-08-23 08:36: Train Epoch 3: 1000/1641 Loss: 0.069170
2026-08-23 08:36: Train Epoch 3: 1020/1641 Loss: 0.093752
2026-08-23 08:36: Train Epoch 3: 1040/1641 Loss: 0.071143
2026-08-23 08:36: Train Epoch 3: 1060/1641 Loss: 0.069208
2026-08-23 08:36: Train Epoch 3: 1080/1641 Loss: 0.093089
2026-08-23 08:36: Train Epoch 3: 1100/1641 Loss: 0.136021
2026-08-23 08:36: Train Epoch 3: 1120/1641 Loss: 0.095870
2026-08-23 08:36: Train Epoch 3: 1140/1641 Loss: 0.122440
2026-08-23 08:36: Train Epoch 3: 1160/1641 Loss: 0.096331
2026-08-23 08:36: Train Epoch 3: 1180/1641 Loss: 0.076527
2026-08-23 08:36: Train Epoch 3: 1200/1641 Loss: 0.158212
2026-08-23 08:36: Train Epoch 3: 1220/1641 Loss: 0.085395
2026-08-23 08:36: Train Epoch 3: 1240/1641 Loss: 0.165683
2026-08-23 08:36: Train Epoch 3: 1260/1641 Loss: 0.092938
2026-08-23 08:36: Train Epoch 3: 1280/1641 Loss: 0.077898
2026-08-23 08:36: Train Epoch 3: 1300/1641 Loss: 0.103533
2026-08-23 08:36: Train Epoch 3: 1320/1641 Loss: 0.070742
2026-08-23 08:36: Train Epoch 3: 1340/1641 Loss: 0.105109
2026-08-23 08:36: Train Epoch 3: 1360/1641 Loss: 0.087910
2026-08-23 08:36: Train Epoch 3: 1380/1641 Loss: 0.115595
2026-08-23 08:36: Train Epoch 3: 1400/1641 Loss: 0.083902
2026-08-23 08:36: Train Epoch 3: 1420/1641 Loss: 0.120231
2026-08-23 08:37: Train Epoch 3: 1440/1641 Loss: 0.070887
2026-08-23 08:37: Train Epoch 3: 1460/1641 Loss: 0.105147
2026-08-23 08:37: Train Epoch 3: 1480/1641 Loss: 0.048834
2026-08-23 08:37: Train Epoch 3: 1500/1641 Loss: 0.047156
2026-08-23 08:37: Train Epoch 3: 1520/1641 Loss: 0.111487
2026-08-23 08:37: Train Epoch 3: 1540/1641 Loss: 0.128113
2026-08-23 08:37: Train Epoch 3: 1560/1641 Loss: 0.095859
2026-08-23 08:37: Train Epoch 3: 1580/1641 Loss: 0.082703
2026-08-23 08:37: Train Epoch 3: 1600/1641 Loss: 0.074631
2026-08-23 08:37: Train Epoch 3: 1620/1641 Loss: 0.115217
2026-08-23 08:37: Train Epoch 3: 1640/1641 Loss: 0.092842
2026-08-23 08:37: **********Train Epoch 3: averaged Loss: 0.101645, tf_ratio: 1.000000
2026-08-23 08:37: **********Val Epoch 3: average Loss: 0.137253
2026-08-23 08:37: *********************************Current best model saved!
2026-08-23 08:37: Train Epoch 4: 0/1641 Loss: 0.098706
2026-08-23 08:37: Train Epoch 4: 20/1641 Loss: 0.101985
2026-08-23 08:37: Train Epoch 4: 40/1641 Loss: 0.100063
2026-08-23 08:37: Train Epoch 4: 60/1641 Loss: 0.153442
2026-08-23 08:37: Train Epoch 4: 80/1641 Loss: 0.079571
2026-08-23 08:38: Train Epoch 4: 100/1641 Loss: 0.115736
2026-08-23 08:38: Train Epoch 4: 120/1641 Loss: 0.112939
2026-08-23 08:38: Train Epoch 4: 140/1641 Loss: 0.061453
2026-08-23 08:38: Train Epoch 4: 160/1641 Loss: 0.076507
2026-08-23 08:38: Train Epoch 4: 180/1641 Loss: 0.102106
2026-08-23 08:38: Train Epoch 4: 200/1641 Loss: 0.086830
2026-08-23 08:38: Train Epoch 4: 220/1641 Loss: 0.086871
2026-08-23 08:38: Train Epoch 4: 240/1641 Loss: 0.062220
2026-08-23 08:38: Train Epoch 4: 260/1641 Loss: 0.162539
2026-08-23 08:38: Train Epoch 4: 280/1641 Loss: 0.087487
2026-08-23 08:38: Train Epoch 4: 300/1641 Loss: 0.079230
2026-08-23 08:38: Train Epoch 4: 320/1641 Loss: 0.149120
2026-08-23 08:38: Train Epoch 4: 340/1641 Loss: 0.115929
2026-08-23 08:38: Train Epoch 4: 360/1641 Loss: 0.075119
2026-08-23 08:38: Train Epoch 4: 380/1641 Loss: 0.090425
2026-08-23 08:38: Train Epoch 4: 400/1641 Loss: 0.086414
2026-08-23 08:38: Train Epoch 4: 420/1641 Loss: 0.070204
2026-08-23 08:38: Train Epoch 4: 440/1641 Loss: 0.103864
2026-08-23 08:38: Train Epoch 4: 460/1641 Loss: 0.076150
2026-08-23 08:38: Train Epoch 4: 480/1641 Loss: 0.081535
2026-08-23 08:38: Train Epoch 4: 500/1641 Loss: 0.141504
2026-08-23 08:38: Train Epoch 4: 520/1641 Loss: 0.060514
2026-08-23 08:39: Train Epoch 4: 540/1641 Loss: 0.111988
2026-08-23 08:39: Train Epoch 4: 560/1641 Loss: 0.117875
2026-08-23 08:39: Train Epoch 4: 580/1641 Loss: 0.111782
2026-08-23 08:39: Train Epoch 4: 600/1641 Loss: 0.113926
2026-08-23 08:39: Train Epoch 4: 620/1641 Loss: 0.158464
2026-08-23 08:39: Train Epoch 4: 640/1641 Loss: 0.087502
2026-08-23 08:39: Train Epoch 4: 660/1641 Loss: 0.118470
2026-08-23 08:39: Train Epoch 4: 680/1641 Loss: 0.060998
2026-08-23 08:39: Train Epoch 4: 700/1641 Loss: 0.120449
2026-08-23 08:39: Train Epoch 4: 720/1641 Loss: 0.115577
2026-08-23 08:39: Train Epoch 4: 740/1641 Loss: 0.142280
2026-08-23 08:39: Train Epoch 4: 760/1641 Loss: 0.058517
2026-08-23 08:39: Train Epoch 4: 780/1641 Loss: 0.090951
2026-08-23 08:39: Train Epoch 4: 800/1641 Loss: 0.127826
2026-08-23 08:39: Train Epoch 4: 820/1641 Loss: 0.134342
2026-08-23 08:39: Train Epoch 4: 840/1641 Loss: 0.069553
2026-08-23 08:39: Train Epoch 4: 860/1641 Loss: 0.081626
2026-08-23 08:39: Train Epoch 4: 880/1641 Loss: 0.089507
2026-08-23 08:39: Train Epoch 4: 900/1641 Loss: 0.119665
2026-08-23 08:39: Train Epoch 4: 920/1641 Loss: 0.084514
2026-08-23 08:39: Train Epoch 4: 940/1641 Loss: 0.105985
2026-08-23 08:39: Train Epoch 4: 960/1641 Loss: 0.103473
2026-08-23 08:39: Train Epoch 4: 980/1641 Loss: 0.082811
2026-08-23 08:40: Train Epoch 4: 1000/1641 Loss: 0.101961
2026-08-23 08:40: Train Epoch 4: 1020/1641 Loss: 0.138383
2026-08-23 08:40: Train Epoch 4: 1040/1641 Loss: 0.078789
