Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260821230405/run.log
2026-08-21 23:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260821230405
2026-08-21 23:09: Train Epoch 2: 520/1641 Loss: 0.545998
2026-08-21 23:09: Train Epoch 2: 540/1641 Loss: 0.522700
2026-08-21 23:09: Train Epoch 2: 560/1641 Loss: 0.540771
2026-08-21 23:09: Train Epoch 2: 580/1641 Loss: 0.543104
2026-08-21 23:09: Train Epoch 2: 600/1641 Loss: 0.533627
2026-08-21 23:09: Train Epoch 2: 620/1641 Loss: 0.530300
2026-08-21 23:09: Train Epoch 2: 640/1641 Loss: 0.529387
2026-08-21 23:09: Train Epoch 2: 660/1641 Loss: 0.494961
2026-08-21 23:09: Train Epoch 2: 680/1641 Loss: 0.524679
2026-08-21 23:09: Train Epoch 2: 700/1641 Loss: 0.522727
2026-08-21 23:10: Train Epoch 2: 720/1641 Loss: 0.575871
2026-08-21 23:10: Train Epoch 2: 740/1641 Loss: 0.555300
2026-08-21 23:10: Train Epoch 2: 760/1641 Loss: 0.556762
2026-08-21 23:10: Train Epoch 2: 780/1641 Loss: 0.561365
2026-08-21 23:10: Train Epoch 2: 800/1641 Loss: 0.541140
2026-08-21 23:10: Train Epoch 2: 820/1641 Loss: 0.531594
2026-08-21 23:10: Train Epoch 2: 840/1641 Loss: 0.543611
2026-08-21 23:10: Train Epoch 2: 860/1641 Loss: 0.506683
2026-08-21 23:10: Train Epoch 2: 880/1641 Loss: 0.528707
2026-08-21 23:10: Train Epoch 2: 900/1641 Loss: 0.528965
2026-08-21 23:10: Train Epoch 2: 920/1641 Loss: 0.610911
2026-08-21 23:10: Train Epoch 2: 940/1641 Loss: 0.539329
2026-08-21 23:10: Train Epoch 2: 960/1641 Loss: 0.528497
2026-08-21 23:10: Train Epoch 2: 980/1641 Loss: 0.509965
2026-08-21 23:10: Train Epoch 2: 1000/1641 Loss: 0.530264
2026-08-21 23:10: Train Epoch 2: 1020/1641 Loss: 0.512701
2026-08-21 23:10: Train Epoch 2: 1040/1641 Loss: 0.541348
2026-08-21 23:10: Train Epoch 2: 1060/1641 Loss: 0.523994
2026-08-21 23:10: Train Epoch 2: 1080/1641 Loss: 0.526234
2026-08-21 23:10: Train Epoch 2: 1100/1641 Loss: 0.528544
2026-08-21 23:10: Train Epoch 2: 1120/1641 Loss: 0.545339
2026-08-21 23:11: Train Epoch 2: 1140/1641 Loss: 0.549554
2026-08-21 23:11: Train Epoch 2: 1160/1641 Loss: 0.550084
2026-08-21 23:11: Train Epoch 2: 1180/1641 Loss: 0.520194
2026-08-21 23:11: Train Epoch 2: 1200/1641 Loss: 0.540797
2026-08-21 23:11: Train Epoch 2: 1220/1641 Loss: 0.532279
2026-08-21 23:11: Train Epoch 2: 1240/1641 Loss: 0.550103
2026-08-21 23:11: Train Epoch 2: 1260/1641 Loss: 0.515805
2026-08-21 23:11: Train Epoch 2: 1280/1641 Loss: 0.576496
2026-08-21 23:11: Train Epoch 2: 1300/1641 Loss: 0.521828
2026-08-21 23:11: Train Epoch 2: 1320/1641 Loss: 0.523724
2026-08-21 23:11: Train Epoch 2: 1340/1641 Loss: 0.515888
2026-08-21 23:11: Train Epoch 2: 1360/1641 Loss: 0.520311
2026-08-21 23:11: Train Epoch 2: 1380/1641 Loss: 0.556783
