=================================================================
Running Run.py | Seed: 1
=================================================================
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run 3zdc6sze
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260820_051256-3zdc6sze
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_realval
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/3zdc6sze
2026-08-20 05:12: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820051255
2026-08-20 05:17: Train Epoch 2: 20/1641 Loss: 0.448305
2026-08-20 05:17: Train Epoch 2: 40/1641 Loss: 0.423958
2026-08-20 05:17: Train Epoch 2: 60/1641 Loss: 0.416263
2026-08-20 05:17: Train Epoch 2: 80/1641 Loss: 0.451322
2026-08-20 05:17: Train Epoch 2: 100/1641 Loss: 0.483878
2026-08-20 05:17: Train Epoch 2: 120/1641 Loss: 0.421194
2026-08-20 05:17: Train Epoch 2: 140/1641 Loss: 0.413168
2026-08-20 05:17: Train Epoch 2: 160/1641 Loss: 0.461514
2026-08-20 05:17: Train Epoch 2: 180/1641 Loss: 0.466683
2026-08-20 05:17: Train Epoch 2: 200/1641 Loss: 0.403927
2026-08-20 05:17: Train Epoch 2: 220/1641 Loss: 0.459627
2026-08-20 05:17: Train Epoch 2: 240/1641 Loss: 0.427145
2026-08-20 05:17: Train Epoch 2: 260/1641 Loss: 0.455051
2026-08-20 05:17: Train Epoch 2: 280/1641 Loss: 0.440515
2026-08-20 05:17: Train Epoch 2: 300/1641 Loss: 0.474210
2026-08-20 05:17: Train Epoch 2: 320/1641 Loss: 0.482830
2026-08-20 05:17: Train Epoch 2: 340/1641 Loss: 0.425644
2026-08-20 05:17: Train Epoch 2: 360/1641 Loss: 0.442006
2026-08-20 05:17: Train Epoch 2: 380/1641 Loss: 0.471942
2026-08-20 05:17: Train Epoch 2: 400/1641 Loss: 0.463808
2026-08-20 05:17: Train Epoch 2: 420/1641 Loss: 0.447383
2026-08-20 05:17: Train Epoch 2: 440/1641 Loss: 0.456708
2026-08-20 05:18: Train Epoch 2: 460/1641 Loss: 0.481275
2026-08-20 05:18: Train Epoch 2: 480/1641 Loss: 0.408152
2026-08-20 05:18: Train Epoch 2: 500/1641 Loss: 0.450514
2026-08-20 05:18: Train Epoch 2: 520/1641 Loss: 0.422079
2026-08-20 05:18: Train Epoch 2: 540/1641 Loss: 0.435311
2026-08-20 05:18: Train Epoch 2: 560/1641 Loss: 0.433345
2026-08-20 05:18: Train Epoch 2: 580/1641 Loss: 0.429663
2026-08-20 05:18: Train Epoch 2: 600/1641 Loss: 0.431240
2026-08-20 05:18: Train Epoch 2: 620/1641 Loss: 0.449172
2026-08-20 05:18: Train Epoch 2: 640/1641 Loss: 0.420517
2026-08-20 05:18: Train Epoch 2: 660/1641 Loss: 0.436707
2026-08-20 05:18: Train Epoch 2: 680/1641 Loss: 0.409542
2026-08-20 05:18: Train Epoch 2: 700/1641 Loss: 0.423275
2026-08-20 05:18: Train Epoch 2: 720/1641 Loss: 0.413312
2026-08-20 05:18: Train Epoch 2: 740/1641 Loss: 0.419461
2026-08-20 05:18: Train Epoch 2: 760/1641 Loss: 0.453107
2026-08-20 05:18: Train Epoch 2: 780/1641 Loss: 0.451073
2026-08-20 05:18: Train Epoch 2: 800/1641 Loss: 0.404052
2026-08-20 05:18: Train Epoch 2: 820/1641 Loss: 0.483041
2026-08-20 05:18: Train Epoch 2: 840/1641 Loss: 0.435406
2026-08-20 05:18: Train Epoch 2: 860/1641 Loss: 0.452445
2026-08-20 05:18: Train Epoch 2: 880/1641 Loss: 0.470719
2026-08-20 05:19: Train Epoch 2: 900/1641 Loss: 0.457628
2026-08-20 05:19: Train Epoch 2: 920/1641 Loss: 0.427165
2026-08-20 05:19: Train Epoch 2: 940/1641 Loss: 0.449600
2026-08-20 05:19: Train Epoch 2: 960/1641 Loss: 0.384788
2026-08-20 05:19: Train Epoch 2: 980/1641 Loss: 0.440077
2026-08-20 05:19: Train Epoch 2: 1000/1641 Loss: 0.478913
2026-08-20 05:19: Train Epoch 2: 1020/1641 Loss: 0.494745
2026-08-20 05:19: Train Epoch 2: 1040/1641 Loss: 0.437694
2026-08-20 05:19: Train Epoch 2: 1060/1641 Loss: 0.455229
2026-08-20 05:19: Train Epoch 2: 1080/1641 Loss: 0.432165
2026-08-20 05:19: Train Epoch 2: 1100/1641 Loss: 0.406034
2026-08-20 05:19: Train Epoch 2: 1120/1641 Loss: 0.462351
2026-08-20 05:19: Train Epoch 2: 1140/1641 Loss: 0.434728
2026-08-20 05:19: Train Epoch 2: 1160/1641 Loss: 0.430105
2026-08-20 05:19: Train Epoch 2: 1180/1641 Loss: 0.418547
2026-08-20 05:19: Train Epoch 2: 1200/1641 Loss: 0.465572
2026-08-20 05:19: Train Epoch 2: 1220/1641 Loss: 0.427407
2026-08-20 05:19: Train Epoch 2: 1240/1641 Loss: 0.430080
2026-08-20 05:19: Train Epoch 2: 1260/1641 Loss: 0.449139
2026-08-20 05:19: Train Epoch 2: 1280/1641 Loss: 0.427047
2026-08-20 05:19: Train Epoch 2: 1300/1641 Loss: 0.438704
2026-08-20 05:19: Train Epoch 2: 1320/1641 Loss: 0.434815
2026-08-20 05:20: Train Epoch 2: 1340/1641 Loss: 0.446486
2026-08-20 05:20: Train Epoch 2: 1360/1641 Loss: 0.412288
2026-08-20 05:20: Train Epoch 2: 1380/1641 Loss: 0.468227
2026-08-20 05:20: Train Epoch 2: 1400/1641 Loss: 0.442104
2026-08-20 05:20: Train Epoch 2: 1420/1641 Loss: 0.436401
2026-08-20 05:20: Train Epoch 2: 1440/1641 Loss: 0.405880
2026-08-20 05:20: Train Epoch 2: 1460/1641 Loss: 0.458264
2026-08-20 05:20: Train Epoch 2: 1480/1641 Loss: 0.434167
2026-08-20 05:20: Train Epoch 2: 1500/1641 Loss: 0.419221
2026-08-20 05:20: Train Epoch 2: 1520/1641 Loss: 0.445576
2026-08-20 05:20: Train Epoch 2: 1540/1641 Loss: 0.430955
2026-08-20 05:20: Train Epoch 2: 1560/1641 Loss: 0.408482
2026-08-20 05:20: Train Epoch 2: 1580/1641 Loss: 0.428658
2026-08-20 05:20: Train Epoch 2: 1600/1641 Loss: 0.429981
2026-08-20 05:20: Train Epoch 2: 1620/1641 Loss: 0.454136
2026-08-20 05:20: Train Epoch 2: 1640/1641 Loss: 0.458145
2026-08-20 05:20: **********Train Epoch 2: averaged Loss: 0.442402, tf_ratio: 1.000000
2026-08-20 05:21: **********Val Epoch 2: average Loss: 0.416246
2026-08-20 05:21: *********************************Current best model saved!
2026-08-20 05:21: Train Epoch 3: 0/1641 Loss: 0.442620
2026-08-20 05:21: Train Epoch 3: 20/1641 Loss: 0.456992
2026-08-20 05:21: Train Epoch 3: 40/1641 Loss: 0.428077
2026-08-20 05:21: Train Epoch 3: 60/1641 Loss: 0.440359
2026-08-20 05:21: Train Epoch 3: 80/1641 Loss: 0.427007
2026-08-20 05:21: Train Epoch 3: 100/1641 Loss: 0.421689
2026-08-20 05:21: Train Epoch 3: 120/1641 Loss: 0.456624
2026-08-20 05:21: Train Epoch 3: 140/1641 Loss: 0.433645
2026-08-20 05:21: Train Epoch 3: 160/1641 Loss: 0.445976
2026-08-20 05:21: Train Epoch 3: 180/1641 Loss: 0.410197
2026-08-20 05:21: Train Epoch 3: 200/1641 Loss: 0.403094
2026-08-20 05:21: Train Epoch 3: 220/1641 Loss: 0.439182
2026-08-20 05:21: Train Epoch 3: 240/1641 Loss: 0.415891
2026-08-20 05:21: Train Epoch 3: 260/1641 Loss: 0.458349
2026-08-20 05:21: Train Epoch 3: 280/1641 Loss: 0.414070
2026-08-20 05:21: Train Epoch 3: 300/1641 Loss: 0.406470
2026-08-20 05:21: Train Epoch 3: 320/1641 Loss: 0.440291
2026-08-20 05:21: Train Epoch 3: 340/1641 Loss: 0.437182
2026-08-20 05:21: Train Epoch 3: 360/1641 Loss: 0.432117
2026-08-20 05:21: Train Epoch 3: 380/1641 Loss: 0.435763
2026-08-20 05:21: Train Epoch 3: 400/1641 Loss: 0.432498
2026-08-20 05:22: Train Epoch 3: 420/1641 Loss: 0.438751
2026-08-20 05:22: Train Epoch 3: 440/1641 Loss: 0.428455
2026-08-20 05:22: Train Epoch 3: 460/1641 Loss: 0.462892
2026-08-20 05:22: Train Epoch 3: 480/1641 Loss: 0.408314
2026-08-20 05:22: Train Epoch 3: 500/1641 Loss: 0.392361
2026-08-20 05:22: Train Epoch 3: 520/1641 Loss: 0.420335
2026-08-20 05:22: Train Epoch 3: 540/1641 Loss: 0.445744
2026-08-20 05:22: Train Epoch 3: 560/1641 Loss: 0.419945
2026-08-20 05:22: Train Epoch 3: 580/1641 Loss: 0.405347
2026-08-20 05:22: Train Epoch 3: 600/1641 Loss: 0.426862
2026-08-20 05:22: Train Epoch 3: 620/1641 Loss: 0.417904
2026-08-20 05:22: Train Epoch 3: 640/1641 Loss: 0.426292
2026-08-20 05:22: Train Epoch 3: 660/1641 Loss: 0.452448
2026-08-20 05:22: Train Epoch 3: 680/1641 Loss: 0.388534
2026-08-20 05:22: Train Epoch 3: 700/1641 Loss: 0.411701
2026-08-20 05:22: Train Epoch 3: 720/1641 Loss: 0.431406
2026-08-20 05:22: Train Epoch 3: 740/1641 Loss: 0.428913
2026-08-20 05:22: Train Epoch 3: 760/1641 Loss: 0.440371
2026-08-20 05:22: Train Epoch 3: 780/1641 Loss: 0.448364
2026-08-20 05:22: Train Epoch 3: 800/1641 Loss: 0.445834
2026-08-20 05:22: Train Epoch 3: 820/1641 Loss: 0.442741
2026-08-20 05:23: Train Epoch 3: 840/1641 Loss: 0.405996
2026-08-20 05:23: Train Epoch 3: 860/1641 Loss: 0.429549
2026-08-20 05:23: Train Epoch 3: 880/1641 Loss: 0.452620
2026-08-20 05:23: Train Epoch 3: 900/1641 Loss: 0.438381
2026-08-20 05:23: Train Epoch 3: 920/1641 Loss: 0.463964
2026-08-20 05:23: Train Epoch 3: 940/1641 Loss: 0.408486
2026-08-20 05:23: Train Epoch 3: 960/1641 Loss: 0.425720
2026-08-20 05:23: Train Epoch 3: 980/1641 Loss: 0.467783
2026-08-20 05:23: Train Epoch 3: 1000/1641 Loss: 0.409840
2026-08-20 05:23: Train Epoch 3: 1020/1641 Loss: 0.413658
2026-08-20 05:23: Train Epoch 3: 1040/1641 Loss: 0.443682
2026-08-20 05:23: Train Epoch 3: 1060/1641 Loss: 0.408730
