=================================================================
Running Run.py | Seed: 1 | Teacher Forcing: True
=================================================================
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run hiuhptss
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260819_141209-hiuhptss
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_realval
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/hiuhptss
2026-08-19 14:12: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819141209
2026-08-19 14:18: Train Epoch 2: 760/1641 Loss: 0.358911
2026-08-19 14:18: Train Epoch 2: 780/1641 Loss: 0.368662
2026-08-19 14:18: Train Epoch 2: 800/1641 Loss: 0.346761
2026-08-19 14:18: Train Epoch 2: 820/1641 Loss: 0.391562
2026-08-19 14:18: Train Epoch 2: 840/1641 Loss: 0.315241
2026-08-19 14:18: Train Epoch 2: 860/1641 Loss: 0.321035
2026-08-19 14:18: Train Epoch 2: 880/1641 Loss: 0.352326
2026-08-19 14:18: Train Epoch 2: 900/1641 Loss: 0.327974
2026-08-19 14:18: Train Epoch 2: 920/1641 Loss: 0.354379
2026-08-19 14:18: Train Epoch 2: 940/1641 Loss: 0.363248
2026-08-19 14:18: Train Epoch 2: 960/1641 Loss: 0.321007
2026-08-19 14:18: Train Epoch 2: 980/1641 Loss: 0.331416
2026-08-19 14:18: Train Epoch 2: 1000/1641 Loss: 0.373176
2026-08-19 14:18: Train Epoch 2: 1020/1641 Loss: 0.359306
2026-08-19 14:18: Train Epoch 2: 1040/1641 Loss: 0.342203
2026-08-19 14:18: Train Epoch 2: 1060/1641 Loss: 0.336816
2026-08-19 14:18: Train Epoch 2: 1080/1641 Loss: 0.328189
2026-08-19 14:19: Train Epoch 2: 1100/1641 Loss: 0.321823
2026-08-19 14:19: Train Epoch 2: 1120/1641 Loss: 0.349534
2026-08-19 14:19: Train Epoch 2: 1140/1641 Loss: 0.342762
2026-08-19 14:19: Train Epoch 2: 1160/1641 Loss: 0.343960
2026-08-19 14:19: Train Epoch 2: 1180/1641 Loss: 0.333230
2026-08-19 14:19: Train Epoch 2: 1200/1641 Loss: 0.382630
2026-08-19 14:19: Train Epoch 2: 1220/1641 Loss: 0.353287
2026-08-19 14:19: Train Epoch 2: 1240/1641 Loss: 0.345000
2026-08-19 14:19: Train Epoch 2: 1260/1641 Loss: 0.333017
2026-08-19 14:19: Train Epoch 2: 1280/1641 Loss: 0.312024
2026-08-19 14:19: Train Epoch 2: 1300/1641 Loss: 0.349831
