2026-08-23 04:49: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823044947
2026-08-23 05:03: Train Epoch 4: 700/1641 Loss: 0.624434
2026-08-23 05:03: Train Epoch 4: 720/1641 Loss: 0.617292
2026-08-23 05:03: Train Epoch 4: 740/1641 Loss: 0.628123
2026-08-23 05:03: Train Epoch 4: 760/1641 Loss: 0.605064
2026-08-23 05:03: Train Epoch 4: 780/1641 Loss: 0.668662
2026-08-23 05:03: Train Epoch 4: 800/1641 Loss: 0.654113
2026-08-23 05:03: Train Epoch 4: 820/1641 Loss: 0.644010
2026-08-23 05:03: Train Epoch 4: 840/1641 Loss: 0.643288
2026-08-23 05:03: Train Epoch 4: 860/1641 Loss: 0.639634
2026-08-23 05:03: Train Epoch 4: 880/1641 Loss: 0.623385
2026-08-23 05:04: Train Epoch 4: 900/1641 Loss: 0.633838
2026-08-23 05:04: Train Epoch 4: 920/1641 Loss: 0.600621
2026-08-23 05:04: Train Epoch 4: 940/1641 Loss: 0.642816
2026-08-23 05:04: Train Epoch 4: 960/1641 Loss: 0.627174
2026-08-23 05:04: Train Epoch 4: 980/1641 Loss: 0.612868
2026-08-23 05:04: Train Epoch 4: 1000/1641 Loss: 0.618642
2026-08-23 05:04: Train Epoch 4: 1020/1641 Loss: 0.633047
2026-08-23 05:04: Train Epoch 4: 1040/1641 Loss: 0.616410
2026-08-23 05:04: Train Epoch 4: 1060/1641 Loss: 0.603944
2026-08-23 05:04: Train Epoch 4: 1080/1641 Loss: 0.647300
2026-08-23 05:04: Train Epoch 4: 1100/1641 Loss: 0.621845
2026-08-23 05:04: Train Epoch 4: 1120/1641 Loss: 0.623425
2026-08-23 05:04: Train Epoch 4: 1140/1641 Loss: 0.633964
2026-08-23 05:04: Train Epoch 4: 1160/1641 Loss: 0.610152
2026-08-23 05:04: Train Epoch 4: 1180/1641 Loss: 0.646224
2026-08-23 05:04: Train Epoch 4: 1200/1641 Loss: 0.612151
2026-08-23 05:04: Train Epoch 4: 1220/1641 Loss: 0.613423
2026-08-23 05:04: Train Epoch 4: 1240/1641 Loss: 0.613683
2026-08-23 05:04: Train Epoch 4: 1260/1641 Loss: 0.632842
2026-08-23 05:04: Train Epoch 4: 1280/1641 Loss: 0.606405
2026-08-23 05:04: Train Epoch 4: 1300/1641 Loss: 0.633929
2026-08-23 05:04: Train Epoch 4: 1320/1641 Loss: 0.600560
2026-08-23 05:05: Train Epoch 4: 1340/1641 Loss: 0.615949
2026-08-23 05:05: Train Epoch 4: 1360/1641 Loss: 0.581348
2026-08-23 05:05: Train Epoch 4: 1380/1641 Loss: 0.608343
2026-08-23 05:05: Train Epoch 4: 1400/1641 Loss: 0.626676
2026-08-23 05:05: Train Epoch 4: 1420/1641 Loss: 0.597305
2026-08-23 05:05: Train Epoch 4: 1440/1641 Loss: 0.637646
2026-08-23 05:05: Train Epoch 4: 1460/1641 Loss: 0.641432
2026-08-23 05:05: Train Epoch 4: 1480/1641 Loss: 0.619944
2026-08-23 05:05: Train Epoch 4: 1500/1641 Loss: 0.627006
2026-08-23 05:05: Train Epoch 4: 1520/1641 Loss: 0.619016
2026-08-23 05:05: Train Epoch 4: 1540/1641 Loss: 0.640036
2026-08-23 05:05: Train Epoch 4: 1560/1641 Loss: 0.623302
2026-08-23 05:05: Train Epoch 4: 1580/1641 Loss: 0.596419
2026-08-23 05:05: Train Epoch 4: 1600/1641 Loss: 0.604217
2026-08-23 05:05: Train Epoch 4: 1620/1641 Loss: 0.627226
2026-08-23 05:05: Train Epoch 4: 1640/1641 Loss: 0.617408
2026-08-23 05:05: **********Train Epoch 4: averaged Loss: 0.625844, tf_ratio: 1.000000
2026-08-23 05:06: **********Val Epoch 4: average Loss: 0.647900
2026-08-23 05:06: *********************************Current best model saved!
2026-08-23 05:06: Train Epoch 5: 0/1641 Loss: 0.619658
2026-08-23 05:06: Train Epoch 5: 20/1641 Loss: 0.596548
2026-08-23 05:06: Train Epoch 5: 40/1641 Loss: 0.641073
2026-08-23 05:06: Train Epoch 5: 60/1641 Loss: 0.565481
2026-08-23 05:06: Train Epoch 5: 80/1641 Loss: 0.607404
2026-08-23 05:06: Train Epoch 5: 100/1641 Loss: 0.607876
2026-08-23 05:06: Train Epoch 5: 120/1641 Loss: 0.600873
2026-08-23 05:06: Train Epoch 5: 140/1641 Loss: 0.622570
2026-08-23 05:06: Train Epoch 5: 160/1641 Loss: 0.587657
2026-08-23 05:06: Train Epoch 5: 180/1641 Loss: 0.627013
2026-08-23 05:06: Train Epoch 5: 200/1641 Loss: 0.635215
2026-08-23 05:06: Train Epoch 5: 220/1641 Loss: 0.613657
2026-08-23 05:06: Train Epoch 5: 240/1641 Loss: 0.616821
2026-08-23 05:06: Train Epoch 5: 260/1641 Loss: 0.587535
2026-08-23 05:06: Train Epoch 5: 280/1641 Loss: 0.621205
2026-08-23 05:06: Train Epoch 5: 300/1641 Loss: 0.590927
2026-08-23 05:06: Train Epoch 5: 320/1641 Loss: 0.585869
2026-08-23 05:06: Train Epoch 5: 340/1641 Loss: 0.633586
2026-08-23 05:06: Train Epoch 5: 360/1641 Loss: 0.607929
2026-08-23 05:06: Train Epoch 5: 380/1641 Loss: 0.597209
2026-08-23 05:06: Train Epoch 5: 400/1641 Loss: 0.616055
2026-08-23 05:06: Train Epoch 5: 420/1641 Loss: 0.641819
2026-08-23 05:07: Train Epoch 5: 440/1641 Loss: 0.599430
2026-08-23 05:07: Train Epoch 5: 460/1641 Loss: 0.611995
2026-08-23 05:07: Train Epoch 5: 480/1641 Loss: 0.610590
2026-08-23 05:07: Train Epoch 5: 500/1641 Loss: 0.630045
2026-08-23 05:07: Train Epoch 5: 520/1641 Loss: 0.618506
2026-08-23 05:07: Train Epoch 5: 540/1641 Loss: 0.585372
2026-08-23 05:07: Train Epoch 5: 560/1641 Loss: 0.628707
2026-08-23 05:07: Train Epoch 5: 580/1641 Loss: 0.616869
2026-08-23 05:07: Train Epoch 5: 600/1641 Loss: 0.633768
2026-08-23 05:07: Train Epoch 5: 620/1641 Loss: 0.651810
2026-08-23 05:07: Train Epoch 5: 640/1641 Loss: 0.640717
2026-08-23 05:07: Train Epoch 5: 660/1641 Loss: 0.626519
2026-08-23 05:07: Train Epoch 5: 680/1641 Loss: 0.611916
